Month,Day,Hour,Minute,tidal_velocity,tidal_direction,wave_height,wave_period,wave_direction
1,1,0,0,0.42345859207247166,296.44175944253254,2.2853,6.8876,54.292
1,1,0,15,0.45383405083796874,294.54012854830717,2.2853,6.8876,54.292
1,1,0,30,0.47769191462699057,292.8609234688199,2.2853,6.8876,54.292
1,1,0,45,0.49458479171927633,291.3289437987561,2.2853,6.8876,54.292
1,1,1,0,0.5042033216867974,289.88560190799683,2.2853,6.8876,54.292
1,1,1,15,0.5063409220080873,288.4841390964655,2.2853,6.8876,54.292
1,1,1,30,0.5009495433673934,287.082297506362,2.2853,6.8876,54.292
1,1,1,45,0.4881095143510316,285.6388936336725,2.2853,6.8876,54.292
1,1,2,0,0.468038296937334,284.10381828346465,2.2853,6.8876,54.292
1,1,2,15,0.44108663378071206,282.41655648426354,2.2853,6.8876,54.292
1,1,2,30,0.4077277162519124,280.4926864559285,2.2853,6.8876,54.292
1,1,2,45,0.3685938747456338,278.20613544237693,2.2853,6.8876,54.292
1,1,3,0,0.3244812441420922,275.3458592363227,2.2706375,6.878,53.88229166666667
1,1,3,15,0.2764214942800216,271.5529005530066,2.255975,6.8684,53.47258333333333
1,1,3,30,0.2258361574239165,266.12572783934365,2.2413125,6.8588,53.062875000000005
1,1,3,45,0.17496548802549605,257.5637812812479,2.22665,6.8492,52.65316666666667
1,1,4,0,0.12838327071702138,242.43524914110182,2.2119874999999998,6.8396,52.243458333333336
1,1,4,15,0.09721583255828241,214.51918352205118,2.1973249999999998,6.83,51.83375
1,1,4,30,0.09954684625843252,177.4720305648756,2.1826624999999997,6.8204,51.42404166666667
1,1,4,45,0.1333157983886381,151.48145252153395,2.168,6.8107999999999995,51.01433333333333
1,1,5,0,0.18025815099462217,137.50426610306977,2.1533375,6.8012,50.604625
1,1,5,15,0.23038803376043643,129.4852564082534,2.138675,6.7916,50.19491666666667
1,1,5,30,0.27960896409092467,124.33768571109343,2.1240125,6.782,49.78520833333334
1,1,5,45,0.32582476409874067,120.71044982757215,2.10935,6.772399999999999,49.3755
1,1,6,0,0.36768303958708787,117.96148057595757,2.0946875,6.7627999999999995,48.96579166666667
1,1,6,15,0.40421882910126783,115.75272677696367,2.080025,6.7532,48.55608333333333
1,1,6,30,0.43466694491299884,113.89516967482412,2.0653625,6.7436,48.146375000000006
1,1,6,45,0.45845034943819163,112.26437687374911,2.0507,6.734,47.73666666666667
1,1,7,0,0.4751170677843515,110.78330991638774,2.0360375,6.724399999999999,47.32695833333334
1,1,7,15,0.48435772606617933,109.39161632233997,2.021375,6.714799999999999,46.91725
1,1,7,30,0.48600609306880094,108.04138454481075,2.0067125,6.7052,46.50754166666667
1,1,7,45,0.48003092827441857,106.69327850246033,1.9920499999999999,6.6956,46.097833333333334
1,1,8,0,0.4665388884112449,105.30140394625927,1.9773874999999999,6.686,45.688125
1,1,8,15,0.44575215467791063,103.81871129511946,1.962725,6.676399999999999,45.27841666666667
1,1,8,30,0.41804454942027414,102.18248898603638,1.9480625,6.666799999999999,44.86870833333334
1,1,8,45,0.38393913332714596,100.30140848122775,1.9334,6.6572,44.459
1,1,9,0,0.3440644154805899,98.04273665750236,1.9181625,6.668424999999999,43.86179166666667
1,1,9,15,0.299258687426113,95.17236565573552,1.902925,6.67965,43.264583333333334
1,1,9,30,0.2505712507451723,91.26666968622422,1.8876875,6.690874999999999,42.667375
1,1,9,45,0.19948827534469288,85.45130227634844,1.87245,6.7021,42.07016666666667
1,1,10,0,0.14855982364017536,75.67360471630141,1.8572125,6.713324999999999,41.47295833333334
1,1,10,15,0.10365637124653748,56.693064055116785,1.8419750000000001,6.72455,40.875750000000004
1,1,10,30,0.08092081190892736,20.145784674912875,1.8267375000000001,6.735774999999999,40.27854166666667
1,1,10,45,0.09872331082373603,341.460483370558,1.8115,6.747,39.681333333333335
1,1,11,0,0.14184808387849304,320.52964998502637,1.7962625,6.7582249999999995,39.084125
1,1,11,15,0.19234634204995946,309.9193436700159,1.781025,6.76945,38.486916666666666
1,1,11,30,0.2434468461492159,303.71565638958987,1.7657875,6.780675,37.88970833333334
1,1,11,45,0.2923569410840112,299.6052503199189,1.75055,6.7919,37.292500000000004
1,1,12,0,0.33750324916954505,296.60771495967333,1.7353125,6.803125,36.69529166666667
1,1,12,15,0.37775441757840506,294.2583284400828,1.720075,6.814349999999999,36.098083333333335
1,1,12,30,0.41227458871485156,292.3076491003296,1.7048375,6.825575,35.500875
1,1,12,45,0.4403698401344034,290.6084396266775,1.6896,6.836799999999999,34.903666666666666
1,1,13,0,0.46150871465228044,289.06680988371556,1.6743625,6.848025,34.30645833333334
1,1,13,15,0.4752917551357271,287.6135860504851,1.659125,6.859249999999999,33.70925
1,1,13,30,0.48146029171677285,286.1973050714602,1.6438875000000002,6.870475,33.11204166666667
1,1,13,45,0.4798889073525247,284.7710851945093,1.62865,6.8816999999999995,32.514833333333335
1,1,14,0,0.4706078470446492,283.28726756802337,1.6134125000000001,6.892925,31.917625
1,1,14,15,0.4537680061441089,281.6939439235702,1.5981750000000001,6.90415,31.320416666666667
1,1,14,30,0.42967546287867087,279.9213429333623,1.5829375,6.915375,30.723208333333332
1,1,14,45,0.3987824255154683,277.8769160523798,1.5677,6.9266,30.126
1,1,15,0,0.3617137914152569,275.4144738705608,1.5595083333333335,6.952008333333333,29.607791666666667
1,1,15,15,0.31928747751830167,272.3013582831222,1.5513166666666667,6.977416666666667,29.089583333333334
1,1,15,30,0.2725866416389475,268.1207531963381,1.543125,7.002825,28.571375
1,1,15,45,0.22321101966524862,262.07668139236023,1.5349333333333335,7.028233333333333,28.05316666666667
1,1,16,0,0.17381453161344132,252.4784881851378,1.5267416666666667,7.053641666666667,27.534958333333336
1,1,16,15,0.12994341614718308,235.6877466103503,1.51855,7.07905,27.016750000000002
1,1,16,30,0.10424112144446644,206.64652692611133,1.5103583333333335,7.1044583333333335,26.498541666666668
1,1,16,45,0.11277470150703126,172.3458647057472,1.5021666666666667,7.129866666666667,25.980333333333334
1,1,17,0,0.14999624328629035,149.11712629519073,1.493975,7.155275,25.462125
1,1,17,15,0.19938686817340806,136.13764339593718,1.4857833333333335,7.1806833333333335,24.943916666666667
1,1,17,30,0.25208254917784373,128.40535081499996,1.4775916666666666,7.206091666666667,24.425708333333333
1,1,17,45,0.30415166693608636,123.30732883097546,1.4694,7.2315000000000005,23.9075
1,1,18,0,0.35343004187533356,119.6474812503669,1.4612083333333334,7.2569083333333335,23.38929166666667
1,1,18,15,0.39852538451145114,116.83417776484076,1.4530166666666666,7.2823166666666665,22.87108333333333
1,1,18,30,0.438357889971197,114.54655914426615,1.444825,7.3077250000000005,22.352875
1,1,18,45,0.4720869556554175,112.59831573836288,1.4366333333333334,7.3331333333333335,21.834666666666667
1,1,19,0,0.4990218099442148,110.87024183163848,1.4284416666666666,7.3585416666666665,21.316458333333333
1,1,19,15,0.5186638581971951,109.28150150999669,1.42025,7.3839500000000005,20.79825
1,1,19,30,0.5306184057305212,107.77054149193425,1.4120583333333334,7.4093583333333335,20.28004166666667
1,1,19,45,0.5346416687838688,106.28901976670059,1.4038666666666666,7.4347666666666665,19.761833333333335
1,1,20,0,0.5306604356836865,104.78915080259637,1.395675,7.4601750000000004,19.243625
1,1,20,15,0.5187048275271785,103.2239603370628,1.3874833333333334,7.4855833333333335,18.725416666666668
1,1,20,30,0.4989842142793698,101.5382635164208,1.3792916666666666,7.510991666666667,18.207208333333334
1,1,20,45,0.4718542842870031,99.66251257261906,1.3711,7.5364,17.689
1,1,21,0,0.43781343263997735,97.49764418211703,1.3665958333333332,7.552708333333333,17.405875
1,1,21,15,0.3975613860776723,94.89710641824531,1.3620916666666667,7.569016666666667,17.12275
1,1,21,30,0.3519915096987426,91.62450822492549,1.3575875,7.585325,16.839625
1,1,21,45,0.30231219839761675,87.27339477498909,1.3530833333333332,7.601633333333334,16.5565
1,1,22,0,0.25026132441909593,81.08776608585649,1.3485791666666667,7.617941666666667,16.273375
1,1,22,15,0.19869855610949969,71.57217868611168,1.344075,7.634250000000001,15.99025
1,1,22,30,0.15320335146464648,55.79220811532608,1.3395708333333334,7.650558333333334,15.707125
1,1,22,45,0.12523629585707172,30.08018210709246,1.3350666666666666,7.666866666666667,15.424
1,1,23,0,0.12920994156797688,358.9933606875154,1.3305624999999999,7.683175,15.140875000000001
1,1,23,15,0.16286953060655637,335.5467858256434,1.3260583333333333,7.699483333333334,14.85775
1,1,23,30,0.21129734499041863,321.46393918644833,1.3215541666666666,7.715791666666667,14.574625000000001
1,1,23,45,0.2645918458683109,312.8666592911052,1.31705,7.732100000000001,14.2915
1,2,0,0,0.31795481597233277,307.18537451207874,1.3125458333333333,7.748408333333334,14.008375000000001
1,2,0,15,0.3688178321339683,303.13868753333463,1.3080416666666665,7.764716666666667,13.725249999999999
1,2,0,30,0.4155439964672814,300.0667132680385,1.3035375,7.7810250000000005,13.442125
1,2,0,45,0.4569541685989964,297.61216522551575,1.2990333333333333,7.7973333333333334,13.159
